kind,ext,depth,file,line
memory,md,root-only,./.lovable/plans/prompt-spec-2026-renumber-100.md,1
memory,md,deep:100,./.lovable/plans/prompt-spec-2026-renumber-100.md,50
memory,md,root-only,./.lovable/plans/prompt-spec-2026-renumber-100.md,52
memory,md,root-only,./.lovable/plans/prompt-spec-2026-renumber-100.md,59
memory,md,root-only,./.lovable/plans/prompt-spec-2026-renumber-100.md,60
memory,md,root-only,./.lovable/plans/prompt-spec-2026-renumber-100.md,115
memory,md,root-only,./.lovable/plans/prompt-spec-2026-renumber-100.md,116
memory,md,root-only,./.lovable/plans/prompt-spec-2026-renumber-100.md,122
memory,md,root-only,./.lovable/plans/prompt-spec-2026-renumber-100.md,123
memory,md,root-only,./.lovable/plans/prompt-spec-2026-renumber-100.md,124
memory,md,root-only,./.lovable/plans/prompt-spec-2026-renumber-100.md,166
memory,md,root-only,./.lovable/plans/prompt-spec-2026-renumber-100.md,167
memory,md,root-only,./.lovable/plans/prompt-spec-2026-renumber-100.md,169
memory,md,root-only,./.lovable/plans/prompt-spec-2026-renumber-100.md,177
memory,md,root-only,./.lovable/question-and-ambiguity/58-2026-spec-scope-placeholders.md,14
memory,md,root-only,./.lovable/question-and-ambiguity/59-2026-spec-folder-name.md,1
memory,md,root-only,./.lovable/question-and-ambiguity/59-2026-spec-folder-name.md,8
memory,md,root-only,./.lovable/question-and-ambiguity/59-2026-spec-folder-name.md,17
memory,md,root-only,./.lovable/question-and-ambiguity/59-2026-spec-folder-name.md,24
memory,md,root-only,./.lovable/question-and-ambiguity/59-2026-spec-folder-name.md,33
memory,md,root-only,./.lovable/question-and-ambiguity/59-2026-spec-folder-name.md,50
memory,md,root-only,./.lovable/question-and-ambiguity/readme.md,14
memory,md,root-only,./.lovable/question-and-ambiguity/readme.md,15
memory,md,root-only,./.lovable/question-and-ambiguity/task-counter.md,35
poc,md,root-only,./poc/2026-spec/README.md,1
poc,md,deep:190,./poc/2026-spec/README.md,7
poc,md,root-only,./poc/2026-spec/README.md,22
poc,md,root-only,./poc/2026-spec/README.md,24
poc,html,root-only,./poc/2026-spec/index.html,6
poc,html,root-only,./poc/2026-spec/index.html,32
script,mjs,root-only,./scripts/audit-spec-genericization.mjs,11
script,mjs,root-only,./scripts/audit-spec-genericization.mjs,26
script,mjs,root-only,./scripts/build-spec-prompts-pdf.mjs,2
script,mjs,root-only,./scripts/build-spec-prompts-pdf.mjs,11
script,mjs,deep:30,./scripts/check-prompts-info-json.mjs,3
script,mjs,deep:30,./scripts/check-prompts-info-json.mjs,9
script,mjs,root-only,./scripts/check-spec-prompts-xrefs.mjs,2
script,mjs,root-only,./scripts/check-spec-prompts-xrefs.mjs,9
script,mjs,root-only,./scripts/extract-prompts-acceptance.mjs,2
script,mjs,root-only,./scripts/extract-prompts-acceptance.mjs,10
script,mjs,root-only,./scripts/extract-prompts-acceptance.mjs,43
script,mjs,root-only,./scripts/lint-spec-banlist.mjs,3
script,mjs,root-only,./scripts/lint-spec-banlist.mjs,11
script,mjs,root-only,./scripts/lint-spec-mermaid.mjs,2
script,mjs,root-only,./scripts/lint-spec-mermaid.mjs,10
script,mjs,deep:190,./scripts/typecheck-spec-snippets.mjs,12
spec,md,root-only,./spec/2026-spec/00-overview.md,56
spec,md,root-only,./spec/2026-spec/02-hardening-backlog.md,3
spec,md,root-only,./spec/2026-spec/02-hardening-backlog.md,8
spec,md,root-only,./spec/2026-spec/02-hardening-backlog.md,15
spec,md,root-only,./spec/2026-spec/10-glossary/04-vocabulary-banlist.md,7
spec,md,root-only,./spec/2026-spec/10-glossary/04-vocabulary-banlist.md,36
spec,md,root-only,./spec/2026-spec/180-test-plan/05-fixtures-and-mocks.md,18
spec,md,root-only,./spec/2026-spec/99-spec-issues/300-blind-ai-rescore-pre-renumber.md,1
spec,md,root-only,./spec/2026-spec/99-spec-issues/300-blind-ai-rescore-pre-renumber.md,12
spec,md,root-only,./spec/2026-spec/99-spec-issues/300-blind-ai-rescore-pre-renumber.md,20
spec,md,root-only,./spec/2026-spec/99-spec-issues/300-blind-ai-rescore-pre-renumber.md,26
spec,md,root-only,./spec/audit/blind-ai-implementation-audit/final-readiness-report-100.md,28
spec,md,root-only,./spec/audit/blind-ai-implementation-audit/progress.md,139
spec,md,root-only,./spec/audit/blind-ai-implementation-audit/steps/step-097.md,7
